Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-01-2018,23.0,29.2,27.2,85,20.6,0.0,5,250,2,W 
02-01-2018,25.0,,27.8,82,0.0,8.7,4,100,2,E 
03-01-2018,26.0,31.4,28.5,82,0.3,9.2,6,120,3,E 
04-01-2018,25.0,31.7,28.5,80,0.0,9.7,5,90,2,E 
05-01-2018,26.0,31.0,28.1,81,0.0,8.0,5,250,2,W 
06-01-2018,25.0,30.2,26.5,90,36.4,6.8,7,270,3,W 
07-01-2018,25.0,29.6,26.8,86,1.7,3.5,5,290,2,W 
08-01-2018,,30.8,27.2,82,66.8,3.2,4,100,2,N 
09-01-2018,25.0,31.0,28.0,80,0.0,6.4,5,280,3,W 
10-01-2018,25.0,29.1,26.7,87,12.7,8.2,9,280,5,W 
11-01-2018,24.0,28.2,26.7,86,17.0,0.3,12,280,9,W 
12-01-2018,23.0,29.4,26.3,85,73.8,0.0,10,260,6,W 
13-01-2018,24.0,29.8,27.5,82,26.4,0.0,10,290,3,W 
14-01-2018,24.0,30.2,27.2,79,4.4,2.5,11,260,4,W 
15-01-2018,25.0,30.8,27.4,83,17.8,1.3,9,270,5,W 
16-01-2018,24.0,29.6,26.9,79,11.5,2.2,8,290,4,W 
17-01-2018,24.0,,26.9,83,20.9,3.2,8,270,3,W 
18-01-2018,24.0,30.6,27.2,82,11.1,3.9,10,300,6,W 
19-01-2018,25.0,29.6,27.6,81,0.9,8.4,9,270,6,W 
20-01-2018,24.0,,25.4,90,49.1,4.2,9,260,6,W 
21-01-2018,24.0,27.8,26.7,86,29.0,0.0,13,280,7,W 
22-01-2018,24.0,30.1,27.4,83,76.9,0.0,8,280,4,W 
23-01-2018,24.0,30.0,27.0,84,69.0,6.3,5,260,2,W 
24-01-2018,24.0,29.2,26.5,89,15.1,3.3,10,270,5,W 
25-01-2018,25.0,30.0,27.1,86,1.0,0.3,12,280,8,W 
26-01-2018,25.0,30.8,27.1,84,17.5,1.5,12,260,7,W 
27-01-2018,,30.4,28.3,80,10.2,3.6,9,280,6,W 
28-01-2018,26.0,,28.6,80,3.2,3.6,6,280,3,W 
29-01-2018,27.0,31.7,28.6,80,0.0,9.4,12,260,9,W 
30-01-2018,27.0,31.3,28.8,75,8888.0,4.3,11,280,8,W 
31-01-2018,25.0,30.4,28.3,80,4.9,8.2,9,250,6,W 
