Date,Time (UTC),rad(m),bat(V),ras(m),sw1(min),sw2(min)
2019-03-15,2019-03-15 11:59:30.000000000,0.04666944444444444,,,,
2019-03-16,2019-03-16 11:59:30.000000000,0.08430972222222222,,,,
2019-03-17,2019-03-17 11:59:30.000000000,0.09555,,,,
2019-03-18,2019-03-18 11:57:01.672473856,0.1239170502708762,,,,
2019-03-19,2019-03-19 11:59:30.000000000,0.14694513888888888,,,,
2019-03-20,2019-03-20 11:58:11.916376320,0.10458325236146854,,,,
2019-03-21,2019-03-21 11:59:30.000000000,0.11693333333333332,,,,
2019-03-22,2019-03-22 11:59:30.000000000,0.09880972222222223,,,,
2019-03-23,2019-03-23 11:58:10.662020864,0.09406130114195632,,,,
2019-03-24,2019-03-24 12:01:42.648083712,0.09319928023603301,,,,
2019-03-25,2019-03-25 11:59:30.000000000,0.08024375,,,,
2019-03-26,2019-03-26 11:58:47.038327552,0.06828778197819325,,,,
2019-03-27,2019-03-27 11:59:30.000000000,0.06170277777777778,,,,
2019-03-28,2019-03-28 11:54:56.223776256,0.04882373026392634,,,,
2019-03-29,2019-03-29 11:59:30.000000000,0.03197708333333334,,,,
2019-03-30,2019-03-30 11:59:30.000000000,0.006782638888888896,,,,
2019-03-31,2019-03-31 12:24:16.956521728,0.019506521739130415,,,,
2019-04-01,2019-04-01 11:59:30.000000000,-0.012284722222222265,,,,
2019-04-02,2019-04-02 12:00:36.167247360,-0.029120463119049148,,,,
2019-04-03,2019-04-03 11:59:30.000000000,-0.0014118055555555793,,,,
2019-04-04,2019-04-04 11:59:30.000000000,-0.05678888888888892,,,,
2019-04-05,2019-04-05 11:59:30.000000000,-0.08196388888888893,,,,
2019-04-06,2019-04-06 11:59:30.000000000,-0.11457152777777782,,,,
2019-04-07,2019-04-07 09:05:00.000000000,0.06210174152153985,,,,
2019-05-03,2019-05-03 15:55:30.000000000,-0.05386260330578505,,,,
2019-05-04,2019-05-04 11:59:30.000000000,-0.0017930555555554907,,,,
2019-05-05,2019-05-05 11:59:30.000000000,0.02169305555555563,,,,
2019-05-06,2019-05-06 11:59:30.000000000,0.03822430555555562,,,,
2019-05-07,2019-05-07 11:59:30.000000000,0.0691645833333334,,,,
2019-05-08,2019-05-08 11:59:30.000000000,0.043234722222222285,,,,
2019-05-09,2019-05-09 11:59:30.000000000,0.06479930555555563,,,,
2019-05-10,2019-05-10 11:59:30.000000000,0.04427013888888895,,,,
2019-05-11,2019-05-11 11:59:30.000000000,0.020945833333333403,,,,
2019-05-12,2019-05-12 11:59:30.000000000,0.027429861111111176,,,,
2019-05-13,2019-05-13 11:59:30.000000000,0.035504861111111174,,,,
2019-05-14,2019-05-14 11:59:30.000000000,0.05225486111111117,,,,
2019-05-15,2019-05-15 11:59:30.000000000,0.04952638888888897,,,,
2019-05-16,2019-05-16 11:59:30.000000000,0.03631041666666674,,,,
2019-05-17,2019-05-17 11:59:30.000000000,0.01083611111111118,,,,
2019-05-18,2019-05-18 11:59:30.000000000,-0.007652083333333255,,,,
2019-05-19,2019-05-19 11:59:30.000000000,-0.011387499999999929,,,,
2019-05-20,2019-05-20 11:59:30.000000000,-0.024501388888888816,,,,
2019-05-21,2019-05-21 11:59:30.000000000,-0.007755555555555489,,,,
2019-05-22,2019-05-22 11:59:30.000000000,-0.022526388888888818,,,,
2019-05-23,2019-05-23 11:59:30.000000000,-0.03461249999999992,,,,
2019-05-24,2019-05-24 11:59:30.000000000,-0.038173611111111054,,,,
2019-05-25,2019-05-25 11:59:30.000000000,-0.05066249999999994,,,,
2019-05-26,2019-05-26 11:59:30.000000000,-0.04240208333333327,,,,
2019-05-27,2019-05-27 11:59:30.000000000,-0.026362499999999935,,,,
2019-05-28,2019-05-28 11:59:30.000000000,-0.019314583333333257,,,,
2019-05-29,2019-05-29 11:59:30.000000000,-0.03445277777777769,,,,
2019-05-30,2019-05-30 11:59:30.000000000,-0.0301555555555555,,,,
2019-05-31,2019-05-31 11:59:30.000000000,-0.0444229166666666,,,,
2019-06-01,2019-06-01 11:59:30.000000000,0.0271444444444446,,,,
2019-06-02,2019-06-02 11:59:30.000000000,-0.008031249999999848,,,,
2019-06-03,2019-06-03 11:59:30.000000000,-0.029436805555555424,,,,
2019-06-04,2019-06-04 11:59:30.000000000,-0.05626180555555541,,,,
2019-06-05,2019-06-05 11:59:30.000000000,-0.0762881944444443,,,,
2019-06-06,2019-06-06 11:59:30.000000000,-0.06193055555555541,,,,
2019-06-07,2019-06-07 11:59:30.000000000,-0.05751805555555542,,,,
2019-06-08,2019-06-08 11:59:30.000000000,-0.026286805555555414,,,,
2019-06-09,2019-06-09 11:59:30.000000000,-0.015682638888888743,,,,
2019-06-10,2019-06-10 11:59:30.000000000,0.01763611111111124,,,,
2019-06-11,2019-06-11 11:59:30.000000000,0.028923611111111247,,,,
2019-06-12,2019-06-12 11:59:30.000000000,0.02861458333333348,,,,
2019-06-13,2019-06-13 12:01:48.919860480,0.03228854240629935,,,,
2019-06-14,2019-06-14 11:59:30.000000000,-0.004813194444444295,,,,
2019-06-15,2019-06-15 11:59:30.000000000,-0.03543611111111096,,,,
2019-06-16,2019-06-16 11:59:30.000000000,-0.058410416666666534,,,,
2019-06-17,2019-06-17 11:59:30.000000000,-0.06568333333333319,,,,
2019-06-18,2019-06-18 11:59:30.000000000,-0.06086597222222207,,,,
2019-06-19,2019-06-19 12:03:23.383297536,-0.008561616660158249,,,,
2019-06-20,2019-06-20 12:00:46.202090496,0.0037122357860902926,,,,
2019-06-21,2019-06-21 11:59:30.000000000,0.02089791666666681,,,,
2019-06-22,2019-06-22 11:59:30.000000000,0.02471944444444458,,,,
2019-06-23,2019-06-23 11:59:30.000000000,0.03307500000000014,,,,
2019-06-24,2019-06-24 11:59:30.000000000,0.02517777777777792,,,,
2019-06-25,2019-06-25 11:59:32.195121920,0.04443139954915649,,,,
2019-06-26,2019-06-26 11:59:30.000000000,0.0367916666666668,,,,
2019-06-27,2019-06-27 11:59:29.686411264,0.02873523230176974,,,,
2019-06-28,2019-06-28 11:59:30.000000000,0.024046527777777913,,,,
2019-06-29,2019-06-29 11:59:30.000000000,0.03895138888888903,,,,
2019-06-30,2019-06-30 11:59:30.000000000,0.032120138888889045,,,,
2019-07-01,2019-07-01 11:59:30.000000000,0.06910763888888931,,,,
2019-07-02,2019-07-02 11:59:30.000000000,0.04549791666666709,,,,
2019-07-03,2019-07-03 11:59:30.000000000,0.03613819444444487,,,,
2019-07-04,2019-07-04 11:59:30.000000000,0.054985416666667106,,,,
2019-07-05,2019-07-05 11:59:30.000000000,0.09324652777777821,,,,
2019-07-06,2019-07-06 11:59:30.000000000,0.12082777777777819,,,,
2019-07-07,2019-07-07 11:59:30.000000000,0.12018958333333377,,,,
2019-07-08,2019-07-08 11:59:30.000000000,0.14995555555555598,,,,
2019-07-09,2019-07-09 12:00:14.685314816,0.14407229241557643,,,,
2019-07-10,2019-07-10 11:59:30.000000000,0.10196805555555598,,,,
2019-07-11,2019-07-11 11:59:30.000000000,0.05094444444444487,,,,
2019-07-12,2019-07-12 11:59:30.000000000,0.016252777777778213,,,,
2019-07-13,2019-07-13 11:59:30.000000000,0.01479444444444486,,,,
2019-07-14,2019-07-14 11:59:30.000000000,0.008068055555555986,,,,
