Date,Time (UTC),rad(m)
2018-07-22,2018-07-22 12:00:42.439024384,-0.03273522758603311
2018-07-23,2018-07-23 11:59:30.000000000,-0.02864378582358162
2018-07-24,2018-07-24 12:03:35.368421120,-0.023859793925495355
2018-07-25,2018-07-25 11:59:30.000000000,-0.018047916666666487
2018-07-26,2018-07-26 11:58:22.657342720,-0.026519652567772938
2018-07-27,2018-07-27 11:59:30.000000000,-0.027238960536052303
2018-07-28,2018-07-28 11:59:23.076923136,0.0026369907888704135
2018-07-29,2018-07-29 11:58:15.789473792,0.027117048179767803
2018-07-30,2018-07-30 11:59:30.000000000,0.026028472222222397
2018-07-31,2018-07-31 11:59:58.536585472,0.011381148720587089
2018-08-01,2018-08-01 12:00:41.184668928,-0.01994273933159964
2018-08-02,2018-08-02 12:01:50.349650176,0.0009764602225940265
2018-08-03,2018-08-03 12:01:19.014084608,0.02894695509621079
2018-08-04,2018-08-04 11:58:05.684210688,0.02445368924734343
2018-08-05,2018-08-05 11:58:09.407665664,0.007915100389654718
2018-08-06,2018-08-06 11:59:30.000000000,0.043391666666666384
2018-08-07,2018-08-07 11:59:30.000000000,0.06935763888888861
2018-08-08,2018-08-08 12:02:17.323943680,0.02313146213846431
2018-08-09,2018-08-09 11:59:30.000000000,-0.02985347222222251
2018-08-10,2018-08-10 11:59:30.000000000,-0.03557430555555585
2018-08-11,2018-08-11 11:59:29.686411264,-0.025060509366442833
2018-08-12,2018-08-12 11:54:31.048951040,-0.013641721595587806
2018-08-13,2018-08-13 11:59:24.335664384,0.005990446236580034
2018-08-14,2018-08-14 11:59:30.000000000,0.035481944444444156
2018-08-15,2018-08-15 11:59:14.265734144,0.029365970712104523
2018-08-16,2018-08-16 11:59:24.335664384,0.029286949733083538
2018-08-17,2018-08-17 12:00:32.404180992,0.020972940110909083
2018-08-18,2018-08-18 12:00:42.439024384,0.024348549867006644
2018-08-19,2018-08-19 12:03:15.632022528,0.03267650148757686
2018-08-20,2018-08-20 11:58:09.407665408,0.022662138717180848
2018-08-21,2018-08-21 11:59:30.000000000,0.018328472222221955
2018-08-22,2018-08-22 11:59:30.000000000,0.0004652777777774823
2018-08-23,2018-08-23 11:59:00.000000000,-0.03622307157748465
2018-08-24,2018-08-24 12:00:08.343815424,-0.011470763020049303
2018-08-25,2018-08-25 11:56:57.062937088,0.006535201481335276
2018-08-26,2018-08-26 11:59:00.000000000,0.02526059763724781
2018-08-27,2018-08-27 11:54:57.835926528,-0.0030575132697175985
2018-08-28,2018-08-28 12:01:37.784011264,0.00019390405151780622
2018-08-29,2018-08-29 11:59:30.000000000,0.020641666666666385
